"CASEID","NUMKID86","NUMKID88","NUMKID90","NUMKID92","NUMKID94","NUMKID96","NUMKID98","NUMKID00","NUMKID02","NUMKID04","NUMKID06","NUMKID08","NUMKID10","NUMKID12","NUMKID14"
3914,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3915,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3
3916,-5,-5,2,2,2,4,4,5,-5,-5,6,6,6,6,6
3917,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0
3918,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
3919,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3921,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3
3922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3923,0,0,1,2,2,3,3,4,4,4,4,4,4,4,4
3924,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
3925,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
3926,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
3927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3929,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3930,0,0,0,2,3,3,3,4,4,4,-5,4,-5,-5,4
3931,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3932,0,1,1,1,2,2,2,2,2,4,-5,-5,-5,-5,4
3933,1,2,2,3,3,4,5,5,5,5,5,5,5,5,5
3934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3935,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3936,0,-5,2,2,2,2,2,2,-5,2,2,-5,-5,-5,-5
3937,2,2,2,2,2,2,2,2,2,-5,-5,-5,-5,-5,-5
3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3939,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3940,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3941,0,0,0,0,0,0,0,-5,0,0,0,-5,0,0,0
3942,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-5
3943,0,2,2,2,2,2,2,2,2,-5,2,2,2,2,-5
3944,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3945,0,0,1,2,1,1,1,2,2,2,2,2,2,-5,-5
3946,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3
3947,0,-5,-5,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
3948,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3949,0,0,-5,-5,0,0,0,1,1,1,1,1,1,1,1
3950,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5
3951,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3953,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4
3954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3955,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1
3956,0,0,0,0,0,0,-5,0,-5,-5,-5,-5,-5,-5,-5
3957,0,1,1,1,1,1,-5,1,1,2,2,2,2,-5,2
3958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3959,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3960,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3962,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
3963,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4
3964,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3966,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3967,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4
3968,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0
3969,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2
3970,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3
3971,0,0,0,0,2,2,2,2,2,2,2,-5,-5,-5,-5
3972,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3
3973,-5,0,0,0,0,0,1,1,-5,-5,-5,2,2,-5,2
3974,2,3,4,4,4,4,4,4,4,4,4,-5,-5,-5,-5
3975,4,-5,-5,-5,4,4,4,4,-5,-5,-5,-5,-5,-5,-5
3976,0,1,1,1,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5
3977,1,1,1,1,1,1,1,1,1,1,1,2,2,2,-5
3978,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3979,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2
3980,0,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,0
3981,-5,-5,2,2,2,2,2,2,2,2,-5,-5,-5,-5,-5
3982,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3983,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3984,0,0,0,0,0,0,1,2,3,-5,-5,-5,-5,-5,-5
3985,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3986,1,1,1,-5,2,2,-5,-5,2,2,2,2,2,2,2
3987,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3
3988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3989,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
3990,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3991,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3993,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3994,0,0,2,-5,3,-5,3,3,3,3,3,3,-5,-5,2
3995,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3996,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3997,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0
3998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3999,0,1,2,2,2,3,4,4,4,4,4,-5,-5,-5,-5
4000,0,0,-5,-5,-5,0,0,0,0,0,-5,-5,-5,-5,-5
4001,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
4002,0,0,1,2,2,2,2,2,-5,2,2,2,2,2,2
4003,2,2,2,2,2,2,2,2,2,-5,-5,-5,-5,-5,-5
4004,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4006,0,-5,0,0,0,0,0,0,0,1,1,1,1,1,1
4007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4008,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
4009,0,2,2,3,3,3,3,3,-5,3,3,3,3,3,3
4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3
4012,2,2,2,2,2,2,2,2,2,2,-5,2,2,2,2
4013,0,1,1,-5,1,1,1,1,1,1,1,1,1,1,1
4014,0,0,0,-5,0,1,1,2,2,2,2,2,-5,2,2
4015,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4016,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,2,2,2,2
4019,0,-5,1,1,1,1,2,2,2,2,2,2,-5,2,2
4020,1,3,4,4,5,5,5,5,5,-5,5,5,5,5,-5
4021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4022,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4023,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
4024,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4025,2,2,2,-5,2,2,2,2,2,2,2,2,2,2,2
4026,0,0,0,0,1,2,2,3,3,3,-5,-5,-5,-5,-5
4027,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4028,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4029,1,1,2,2,2,2,2,2,-5,-5,-5,-5,-5,2,-5
4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,0,0,0,0,0,0,0,1,1,1,-5,1,1,1,1
4032,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4033,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
4034,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0
4035,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
4036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4037,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4038,1,2,2,2,2,-5,2,2,2,-5,-5,-5,2,2,2
4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4040,-5,0,1,1,1,2,2,2,2,2,-5,-5,-5,-5,-5
4041,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4042,0,0,0,0,0,-5,0,1,1,1,1,2,2,2,2
4043,0,1,1,2,2,2,2,2,2,2,-5,-5,-5,2,-5
4044,0,0,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5
4045,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
4046,2,2,2,3,3,-5,3,3,3,3,3,3,3,4,4
4047,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
4048,2,2,3,3,3,3,3,3,3,-5,4,4,4,4,5
4049,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
4050,1,1,2,2,2,3,3,3,3,3,3,-5,-5,-5,-5
4051,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3
4052,0,0,0,0,0,1,1,2,2,-5,2,2,2,2,2
4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4055,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4057,0,0,0,1,1,2,3,3,3,3,3,3,3,-5,-5
4058,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
4059,0,0,0,1,1,2,2,2,-5,-5,-5,-5,-5,-5,-5
4060,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4061,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3
4062,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4065,0,0,1,2,-5,-5,3,3,-5,3,3,3,3,3,3
4066,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4067,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3
4068,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4
4069,2,3,3,3,3,3,3,3,3,3,3,3,3,3,-5
4070,3,3,3,3,3,3,3,3,3,-5,3,3,3,3,-5
4071,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,1
4072,0,0,0,0,0,0,0,-5,0,-5,0,0,0,0,0
4073,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
