"CASEID","NUMKID86","NUMKID88","NUMKID90","NUMKID92","NUMKID94","NUMKID96","NUMKID98","NUMKID00","NUMKID02","NUMKID04","NUMKID06","NUMKID08","NUMKID10","NUMKID12","NUMKID14"
1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
3,2,3,3,3,3,3,3,3,3,-5,3,3,-5,3,3
4,1,1,1,1,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5
5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,0,0,0,1,1,2,-5,3,3,3,3,3,3,3,3
7,0,0,1,1,2,2,2,2,2,2,2,2,2,-5,-5
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
10,-5,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,-5,-5,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,0,0,1,2,3,4,4,4,4,4,4,-5,-5,-5,-5
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4
16,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3
19,0,1,1,1,1,-5,1,-5,-5,-5,1,-5,1,-5,-5
20,0,0,1,1,1,1,1,1,1,1,1,1,-5,1,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,0,1,2,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
25,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
26,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,1,1,-5
27,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
28,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,-5,-5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
31,0,0,1,1,2,-5,2,2,2,2,2,2,2,2,2
32,0,0,-5,0,0,0,-5,-5,-5,0,0,-5,0,-5,-5
33,-5,-5,-5,0,0,0,-5,-5,-5,-5,0,0,0,0,0
34,0,0,2,3,3,3,3,3,3,3,3,3,3,3,4
35,0,0,1,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
36,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
40,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
41,0,0,0,0,0,0,-5,0,1,2,2,2,2,2,2
42,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
43,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4
44,2,2,2,2,-5,2,2,2,2,2,2,2,2,2,2
45,0,0,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,0,0,0,0,1,1,2,2,2,2,2,2,-5,-5,-5
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-5,-5,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,1,1,-5,1,1,1,1,-5,-5,-5,1,-5,1
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
58,2,2,3,3,3,3,3,3,-5,3,3,3,3,3,3
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,1,1,2,2,2,2,-5,-5,-5,-5,-5,3,-5
61,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3
62,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3
63,0,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,1
64,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,0,0,0,1,1,2,2,-5,2,2,2,2,2,2,2
67,-5,0,0,0,0,2,-5,-5,2,-5,2,2,2,2,2
68,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3
69,0,-5,-5,-5,1,2,2,2,2,2,2,2,2,2,2
70,0,0,0,0,0,0,0,-5,1,1,-5,1,1,1,1
71,0,0,0,0,-5,0,1,2,-5,-5,-5,-5,3,-5,3
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,-5,-5,0,0,-5,0,0,0,0,0,2,-5,2
74,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2
76,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,1,2,2,2,3,4,-5,4,4,-5,-5,-5,-5
79,0,0,1,2,3,3,3,3,3,3,-5,-5,-5,-5,-5
80,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,-5,0,0,-5,-5,-5,1
82,2,2,2,2,2,3,3,3,-5,-5,-5,5,-5,-5,-5
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
89,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5
90,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
91,0,0,0,0,1,1,2,-5,2,2,2,2,2,2,2
92,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
93,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3
94,0,-5,0,0,0,0,-5,0,0,0,0,0,0,0,0
95,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
96,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3
97,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
98,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3
99,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
100,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
101,2,2,2,2,2,2,2,-5,-5,2,-5,-5,2,-5,-5
102,0,0,0,1,1,1,1,-5,1,1,1,1,1,1,1
103,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
104,-5,-5,-5,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
105,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,-5
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3
109,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
111,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
112,1,1,1,1,1,1,2,-5,2,2,2,2,2,2,2
113,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4
116,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3
118,1,-5,1,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
122,0,0,0,0,1,3,3,-5,3,3,3,3,3,3,3
123,-5,0,1,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
125,0,-5,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5
126,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
127,0,-5,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,2,2,2,2,2,-5,2,2,2,-5,2,2,2,2,2
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,0,0,0,0,1,1,1,1,1,1,1,1,-5,1,1
134,0,0,0,0,2,3,3,-5,-5,-5,-5,-5,3,-5,-5
135,0,0,0,0,0,1,1,1,1,1,-5,1,1,1,1
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
138,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3
139,0,0,0,1,-5,-5,1,2,2,2,2,2,2,2,-5
140,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
141,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0
142,-5,0,0,0,0,-5,0,0,-5,-5,-5,-5,0,0,-5
143,1,-5,-5,4,4,4,4,-5,-5,4,4,4,4,-5,-5
144,0,0,0,0,1,2,3,3,3,3,3,-5,3,3,3
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
146,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2
147,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
151,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
154,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,0,1,2,2,2,2,2,2,2,2,-5,-5,2,2,-5
156,2,-5,2,2,2,-5,-5,2,2,2,2,2,2,2,2
157,1,2,2,2,2,-5,2,-5,2,-5,-5,2,2,2,2
158,1,1,2,2,2,2,2,2,2,2,2,2,-5,2,2
159,1,2,3,3,5,5,5,5,-5,-5,-5,-5,-5,-5,-5
160,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
161,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2
162,0,0,1,2,3,3,4,4,4,4,4,-5,-5,-5,-5
163,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,0,0,0,0,0,0,-5,0,-5,-5,-5,-5,-5,0,0
165,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3
166,0,0,1,1,1,1,1,1,1,1,1,1,-5,1,-5
167,1,2,2,2,2,2,2,2,2,-5,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,2
169,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
170,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
171,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2
172,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
173,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
175,2,-5,3,3,4,4,-5,-5,-5,-5,-5,4,4,4,4
176,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,0,1,0,0,-5,-5,0,-5,-5,-5,-5,-5,0,-5,-5
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
179,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
180,3,3,3,3,3,3,3,3,3,3,-5,-5,-5,-5,3
181,-5,-5,-5,-5,-5,-5,2,2,2,2,2,2,2,2,2
182,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
183,1,2,2,3,3,3,3,3,3,3,3,3,3,-5,-5
184,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
185,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
186,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
187,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
191,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2
192,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3
193,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
194,0,0,0,0,-5,-5,2,2,2,2,-5,-5,-5,-5,-5
195,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3
196,0,0,0,1,1,2,3,3,3,3,-5,-5,-5,-5,-5
197,0,0,1,2,2,2,2,2,2,2,2,2,-5,2,2
198,0,0,0,-5,0,0,0,0,1,1,1,1,1,1,-5
199,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0
200,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
201,0,0,1,2,2,2,2,-5,2,2,2,2,2,2,2
202,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,-5,-5,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,-5,2,2,2,2,2,2,2,-5,-5,-5,-5,2,2,2
205,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
206,2,-5,-5,-5,-5,-5,-5,4,-5,-5,-5,-5,-5,-5,-5
207,0,1,1,1,1,2,2,2,2,2,2,2,2,-5,-5
208,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5
209,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
210,0,0,0,0,0,0,-5,1,2,2,2,2,2,2,2
211,0,0,0,0,0,1,2,3,3,4,4,4,4,4,4
212,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
213,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,0,0,-5,-5
217,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4
222,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
223,3,4,5,5,6,6,7,7,10,10,10,10,11,11,11
224,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
225,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
226,4,5,5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
227,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
228,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4
229,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2
232,0,2,2,3,3,3,3,3,3,3,3,3,3,3,-5
233,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
234,2,2,2,2,2,2,-5,2,2,-5,2,2,2,2,2
235,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
236,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3
237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
238,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
239,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
240,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
241,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
242,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
244,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
245,0,0,0,1,1,2,2,3,3,3,3,3,3,3,3
246,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
247,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
248,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
249,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4
250,-5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
251,0,-5,0,0,0,0,-5,0,0,0,0,0,0,0,0
252,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5
255,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5
256,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
257,-5,0,0,0,0,0,0,1,1,1,1,1,1,1,1
258,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
259,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
260,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
261,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2
262,1,1,1,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
263,0,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
264,-5,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
265,0,0,0,2,3,3,4,4,4,4,4,-5,4,4,4
266,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
268,0,0,0,1,1,1,1,-5,1,1,1,1,1,1,1
269,0,0,1,1,2,3,3,4,4,4,4,4,4,4,4
270,0,-5,-5,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
271,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
272,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
273,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
274,1,1,1,2,4,5,5,5,5,5,5,5,5,5,5
275,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
276,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5
277,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
278,0,1,1,2,2,3,3,3,3,4,4,-5,4,-5,-5
279,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0
280,0,0,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
281,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3
282,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
283,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1,1,1,2,2,2,2,2,2,2,2,2,2,-5,-5
288,1,2,2,2,3,3,3,6,6,6,6,6,6,6,6
289,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
290,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
293,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
294,-5,2,2,-5,-5,-5,-5,-5,-5,3,3,3,3,3,3
295,0,0,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
296,-5,1,2,3,3,3,3,3,3,3,3,3,3,-5,3
297,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
298,0,0,1,1,1,1,2,2,-5,-5,-5,-5,-5,-5,-5
299,0,0,0,0,0,0,-5,0,-5,0,0,0,0,0,0
300,0,0,0,-5,0,-5,-5,0,-5,-5,0,-5,-5,-5,-5
301,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
302,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
303,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,-5,-5,-5,-5,-5,-5,-5,2,2,2,2,2,2,2,2
306,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1,2,2,2,2,2,2,2,2,2,-5,-5,-5,-5,2
310,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
313,1,2,3,3,3,3,3,3,-5,3,4,5,6,6,6
314,3,5,5,5,5,5,5,-5,-5,-5,5,-5,-5,5,-5
315,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5
316,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2
317,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
318,0,0,0,0,2,2,3,3,3,-5,-5,-5,-5,-5,-5
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
321,0,0,1,2,3,3,-5,3,3,3,3,-5,-5,-5,-5
322,0,1,2,3,3,3,3,3,3,3,-5,-5,3,3,-5
323,2,2,2,2,2,2,2,2,-5,-5,2,2,2,2,2
324,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-5
325,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
327,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5
328,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
329,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
330,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
331,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0
332,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
333,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
334,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
335,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
336,1,1,1,1,1,1,1,2,2,-5,-5,3,3,3,3
337,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
338,2,2,2,2,2,2,2,2,2,2,2,2,2,-5,-5
339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
340,2,3,3,3,3,3,3,3,3,-5,3,3,3,3,3
341,0,0,-5,0,0,-5,0,-5,-5,-5,0,0,-5,-5,-5
342,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
343,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1
344,0,0,1,2,2,2,2,2,2,2,2,2,2,2,-5
345,0,-5,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
346,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
347,0,0,2,2,2,2,2,2,2,2,-5,-5,-5,-5,2
348,1,1,2,3,3,3,3,3,3,3,3,3,3,-5,-5
349,1,1,1,1,1,1,2,2,2,2,-5,-5,-5,-5,-5
350,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2
351,1,2,2,3,3,3,3,3,3,3,3,3,3,3,-5
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5
354,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
355,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3
358,-5,0,0,0,1,1,2,2,2,2,2,2,2,2,2
359,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,1,1,1,1,-5,1,-5,-5,-5,-5,-5,-5,-5
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
365,0,1,-5,-5,-5,5,5,5,5,5,5,5,5,5,5
366,0,0,0,0,0,1,2,-5,-5,-5,-5,-5,-5,-5,-5
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0
369,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0,1,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5
372,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
373,2,-5,2,2,2,2,2,2,2,2,2,2,2,2,2
374,3,3,3,3,3,3,3,3,3,3,-5,-5,-5,-5,-5
375,2,-5,2,2,2,3,4,4,4,4,4,4,4,-5,4
376,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2
377,2,2,2,2,2,2,3,3,3,3,3,3,3,3,-5
378,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
379,2,3,3,3,-5,3,3,-5,3,3,3,3,3,3,3
380,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5
381,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
382,2,2,2,2,2,2,-5,-5,2,2,2,2,2,2,2
383,0,0,-5,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5
384,1,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
385,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3
389,-5,-5,-5,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
390,1,1,2,3,3,3,3,4,4,-5,-5,-5,-5,-5,-5
391,2,2,2,3,3,3,3,3,-5,3,3,3,3,3,3
392,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
393,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3
394,1,1,1,1,1,1,-5,-5,-5,1,1,1,1,1,1
