"CASEID","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1"
115,-5,-5,-5,-5,-5,-5,-5,1,0,0,0
116,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,0,0,0,1,0,0,0,0,0,0,0
118,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,1,0,0,0,0
122,-5,1,0,0,0,0,0,0,0,0,0
123,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,1,1,0,0,0,0,0,0,0,0,-5
125,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,0,0,0,0,0,0,0,0,0,0,-5
127,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,0,1,-5,0,0,0,1,0,0,0,1
129,0,0,0,0,0,0,0,0,0,0,0
130,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,0,0,0,0,0,-5,0,0,0,0,0
134,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,0
135,0,0,0,-5,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0
137,0,0,1,0,0,0,0,0,1,0,0
138,0,0,0,0,1,0,0,0,0,1,0
139,1,1,1,1,1,1,1,-5,-5,-5,-5
140,0,0,1,0,0,0,0,0,0,0,0
141,0,1,0,0,-5,1,0,0,0,1,0
142,0,-5,-5,-5,-5,1,0,-5,-5,-5,-5
143,-5,-5,0,0,0,0,-5,-5,-5,-5,-5
144,0,0,0,0,-5,0,0,0,0,0,0
145,1,1,0,0,0,0,0,-5,-5,0,0
146,0,1,0,1,0,1,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,-5
148,0,0,0,0,0,0,0,1,1,0,0
149,0,1,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,-5,-5,-5,-5
151,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
152,0,1,1,0,0,0,0,1,0,0,1
153,0,1,0,1,0,0,1,1,0,0,0
154,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,1,0,-5,-5,1,1,-5,0,-5,-5
156,0,1,0,1,1,0,0,0,-5,-5,-5
157,-5,0,-5,-5,0,1,0,0,0,-5,1
158,0,0,0,0,0,-5,1,0,0,0,0
159,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
160,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,1,1,0,0
162,0,1,0,0,-5,-5,-5,-5,-5,-5,-5
163,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,0,-5,-5,-5,-5,-5,0,1,-5,-5,-5
165,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,-5,0,-5,-5,-5,-5
167,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5,0,1,0,0,-5,-5
169,-5,-5,-5,-5,-5,0,0,0,-5,-5,-5
170,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
171,0,0,0,0,0,0,0,0,0,0,0
172,0,1,0,0,0,0,1,0,0,0,0
173,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,0,0,1,1,0,0,0,1,1,0,0
175,-5,-5,-5,-5,1,1,1,1,1,0,0
176,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5
178,0,1,0,0,0,0,0,-5,-5,-5,-5
179,0,1,0,0,0,0,0,0,0,0,0
180,0,0,0,-5,-5,-5,-5,0,0,1,0
181,0,1,0,0,0,0,0,0,1,0,0
182,-5,-5,-5,-5,-5,0,1,0,0,0,0
183,0,0,0,0,0,0,-5,-5,-5,-5,-5
184,0,0,0,0,0,0,0,0,1,0,0
185,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,1,0,0
187,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,0,1,0,1,0,0,1,0,0,1,1
189,0,0,0,0,0,0,0,0,0,0,0
190,1,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,1,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
195,1,0,0,0,0,1,1,0,0,0,1
196,0,0,0,-5,-5,-5,-5,-5,-5,0,0
197,0,0,1,0,0,-5,1,0,0,1,0
198,1,1,1,0,0,0,0,-5,1,0,0
199,0,0,1,0,0,1,1,0,-5,-5,-5
200,0,0,0,0,0,0,0,0,0,0,0
201,-5,1,0,0,0,0,0,0,1,0,0
202,1,0,1,0,0,1,1,1,1,1,1
203,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,0,-5,-5,-5,-5,1,0,0,0,1,0
205,0,0,0,0,1,0,0,0,0,0,1
206,0,-5,-5,-5,-5,-5,-5,-5,1,-5,-5
207,1,0,1,1,1,0,-5,-5,-5,-5,-5
208,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0
209,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
210,0,1,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0
213,0,1,0,0,0,-5,-5,-5,-5,-5,-5
214,0,0,1,1,1,0,1,0,0,0,0
215,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,1,0,-5,-5,-5,-5,-5
217,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,1,0
220,1,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,1,1,0,1,0,1
222,0,0,0,1,1,1,1,0,0,0,1
223,0,1,0,1,0,1,0,1,0,0,0
224,0,0,0,1,0,0,0,0,0,0,0
225,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
227,0,0,0,0,0,0,0,0,0,0,0
228,1,1,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,1,1,0,0
232,0,0,0,0,0,0,0,-5,0,0,-5
