"CPUBID","MPUBID","BKGN-20","BKGN-20","BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20"
12401,124,3,3,-7,-7,-7,-7,-7,-7
12402,124,3,3,-7,-7,-7,-7,-7,-7
12801,128,-7,-7,-7,-7,-7,-7,-7,-7
12802,128,1,-7,-7,-7,-7,-7,-7,-7
13301,133,1,1,-7,1,-7,-7,-7,-7
13701,137,1,1,-7,-7,-7,-7,-7,-7
13702,137,4,3,1,-7,-7,-7,-7,-7
13801,138,1,1,-7,-7,-7,-7,-7,-7
13802,138,1,1,1,-7,-7,-7,-7,-7
13803,138,1,1,1,1,-7,-7,-7,-7
14001,140,3,3,3,3,-7,-7,-7,-7
14301,143,-7,-7,-7,-7,-7,-7,-7,-7
14302,143,-7,-7,-7,-7,-7,-7,-7,-7
14303,143,-7,-7,1,-7,-7,-7,-7,-7
14304,143,-7,-7,1,-7,-7,-7,-7,-7
14401,144,3,1,1,1,-7,-7,-7,-7
14402,144,3,1,1,1,-7,-7,-7,-7
14403,144,-7,1,1,1,-7,1,-7,-7
14701,147,1,-7,-7,-7,-7,-7,-7,-7
14702,147,1,1,1,-7,-7,-7,-7,-7
14901,149,3,1,1,-7,-7,-7,-7,-7
14902,149,3,1,1,1,-7,-7,-7,-7
15301,153,-7,-7,-7,-7,-7,-7,-7,-7
15302,153,-7,-7,-7,-7,-7,-7,-7,-7
15701,157,-7,-7,-7,-7,-7,-7,-7,-7
15702,157,-7,-7,-7,-7,-7,-7,-7,-7
15801,158,-7,-7,-7,-7,-7,-7,-7,-7
15802,158,3,3,-7,-7,-7,-7,-7,-7
15901,159,-7,-7,-7,-7,-7,-7,-7,-7
15902,159,-7,-7,-7,-7,-7,-7,-7,-7
15903,159,-7,-7,-7,-7,-7,-7,-7,-7
15904,159,-7,-7,-7,-7,-7,-7,-7,-7
15905,159,-7,-7,-7,-7,-7,-7,-7,-7
16001,160,1,1,1,-7,-7,-7,-7,-7
16101,161,1,1,1,1,1,-7,-7,-7
16102,161,-7,1,1,1,1,1,-7,-7
16501,165,1,1,-7,-7,-7,-7,-7,-7
16502,165,1,1,1,1,-7,-7,-7,-7
16503,165,-7,-7,1,1,1,1,1,-7
16701,167,-7,-7,-7,-7,-7,-7,-7,-7
16702,167,1,-7,-7,-7,-7,-7,-7,-7
17201,172,1,1,1,1,-7,-7,-7,-7
17401,174,-7,-7,-7,-7,-7,-7,-7,-7
17402,174,3,3,3,-7,-7,-7,-7,-7
17501,175,-7,-7,-7,-7,-7,-7,-7,-7
17502,175,-7,-7,-7,-7,-7,-7,-7,-7
17503,175,-7,-7,-7,-7,-7,-7,-7,-7
17504,175,-7,-7,-7,-7,-7,-7,-7,-7
17901,179,-7,-7,-7,-7,-7,-7,-7,-7
17902,179,-7,-7,-7,-7,-7,-7,-7,-7
18001,180,-7,-7,-7,-7,-7,-7,-7,-7
18002,180,-7,-7,-7,-7,-7,-7,-7,-7
18003,180,-7,-7,-7,-7,-7,-7,-7,-7
18301,183,-7,-7,-7,-7,-7,-7,-7,-7
18302,183,1,-7,-7,-7,-7,-7,-7,-7
18303,183,1,1,1,-7,-7,-7,-7,-7
18401,184,-7,-7,-7,1,1,1,1,-7
18601,186,1,1,1,-7,-7,-7,-7,-7
18801,188,-7,-7,-7,-7,-7,-7,-7,-7
19001,190,4,1,1,1,1,-7,-7,-7
19201,192,1,1,1,-7,-7,-7,-7,-7
19202,192,1,1,1,1,1,-7,-7,-7
19203,192,-7,-7,1,1,1,1,1,-7
19701,197,1,2,-7,-7,-7,-7,-7,-7
19702,197,1,2,1,-7,-7,-7,-7,-7
20001,200,-7,-7,-7,-7,-7,-7,-7,-7
20002,200,1,-7,-7,-7,-7,-7,-7,-7
20301,203,-7,-7,-7,-7,-7,-7,-7,-7
20302,203,-7,-7,-7,-7,-7,-7,-7,-7
20401,204,-7,-7,-7,-7,-7,-7,-7,-7
20402,204,-7,-7,-7,-7,-7,-7,-7,-7
20501,205,-7,-7,-7,-7,-7,-7,-7,-7
20502,205,-7,-7,-7,-7,-7,-7,-7,-7
20503,205,1,-7,-7,-7,-7,-7,-7,-7
20801,208,-7,-7,-7,-7,-7,-7,-7,-7
21101,211,-7,1,1,1,1,1,-7,-7
21102,211,-7,-7,1,1,1,1,-7,-7
21103,211,-7,-7,-7,1,1,1,1,-7
21104,211,-7,-7,-7,-7,1,1,1,1
22101,221,1,-7,-7,-7,-7,-7,-7,-7
22102,221,1,-7,-7,-7,-7,-7,-7,-7
22103,221,1,1,-7,-7,-7,-7,-7,-7
22104,221,1,1,1,-7,-7,-7,-7,-7
22401,224,-7,-7,-7,-7,-7,-7,-7,-7
22402,224,-7,-7,-7,-7,-7,-7,-7,-7
22403,224,-7,-7,-7,-7,-7,-7,-7,-7
22701,227,-7,-7,-7,-7,-7,-7,-7,-7
22702,227,-7,-7,-7,-7,-7,-7,-7,-7
22703,227,-7,-7,-7,-7,-7,-7,-7,-7
22704,227,1,1,1,1,1,-7,-7,-7
22801,228,-7,-7,-7,-7,-7,-7,-7,-7
22802,228,1,-7,-7,-7,-7,-7,-7,-7
22803,228,1,-7,-7,-7,-7,-7,-7,-7
22804,228,1,1,1,-7,-7,-7,-7,-7
22901,229,1,1,1,1,-7,-7,-7,-7
23101,231,3,3,3,-7,-7,-7,-7,-7
