,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
2623,277801,2778,3,2,1,1979,107,1986,67,27,18,92,30,20,93,33,72.9,4,-0.3,-3,65.9,1,86
2626,278101,2781,3,2,1,1980,114,1986,82,22,18,107,68,18,105,64,81.6,12,-0.3,-3,77.7,7,73
2664,282201,2822,1,1,2,1973,84,1986,15,43,45,88,21,43,84,15,75.9,5,83.3,13,-0.3,-3,159
2711,288603,2886,2,1,5,1978,106,1986,65,36,46,122,93,44,116,86,-0.3,-3,-0.3,-3,-0.3,-3,95
2732,291101,2911,1,2,4,1980,91,1986,28,12,18,107,68,18,105,64,122.2,93,117.6,88,-0.3,-3,73
2809,302102,3021,3,2,7,1977,116,1986,86,46,41,111,76,52,122,93,106.3,66,111.7,79,-0.3,-3,104
3494,369801,3698,1,1,3,1981,101,1986,52,12,18,125,95,18,125,95,-0.3,-3,-0.3,-3,-0.3,-3,60
3575,376801,3768,3,1,6,1973,107,1986,69,60,44,87,20,40,81,10,116.8,87,-0.3,-3,-0.3,-3,153
3720,392801,3928,3,2,8,1980,109,1986,73,15,18,122,93,18,121,92,112.0,79,105.5,66,-0.3,-3,67
3743,395202,3952,2,1,1,1979,119,1986,90,39,25,107,68,23,101,52,113.6,82,-0.3,-3,111.6,79,86
3763,397501,3975,2,1,12,1978,82,1986,11,13,18,88,22,18,87,19,63.5,1,-0.3,-3,-0.3,-3,88
3778,398801,3988,2,2,8,1979,107,1986,68,23,22,109,73,24,110,74,99.2,47,-0.3,-3,-0.3,-3,80
3932,415102,4151,3,2,1,1980,106,1986,65,17,18,107,68,18,105,64,110.1,75,-0.3,-3,111.9,79,73
3956,417701,4177,3,2,7,1979,104,1986,60,20,19,102,54,24,110,74,126.1,96,117.6,88,-0.3,-3,80
3996,419904,4199,2,2,1,1980,87,1986,19,11,18,107,68,18,105,64,89.8,25,-0.3,-3,84.5,16,73
4095,429501,4295,3,1,10,1977,116,1986,85,45,42,113,80,39,107,69,122.5,94,-0.3,-3,112.9,81,102
4140,436802,4368,3,2,3,1980,101,1986,53,15,18,107,68,18,105,64,-0.3,-3,-0.3,-3,-0.3,-3,71
4175,441601,4416,1,1,10,1974,69,1986,2,21,21,65,1,24,74,4,47.0,0,-0.3,-3,54.5,0,138
4519,476901,4769,3,1,2,1979,118,1986,89,38,25,107,68,38,121,92,93.2,32,-0.3,-3,98.6,47,83
4528,478001,4780,3,2,4,1978,96,1986,40,27,47,123,94,50,123,94,86.2,18,-0.3,-3,86.1,18,97
4812,506901,5069,3,2,8,1978,114,1986,82,39,28,106,65,35,113,80,89.3,23,-0.3,-3,98.6,47,91
4969,523601,5236,3,1,9,1978,126,1986,96,48,56,135,99,62,97,42,110.8,77,-0.3,-3,-0.3,-3,90
5001,528001,5280,3,1,5,1980,102,1986,55,14,18,114,82,18,113,80,89.4,23,98.6,47,-0.3,-3,70
5010,528601,5286,3,2,9,1978,98,1986,46,25,31,110,74,30,107,68,-0.3,-3,-0.3,-3,-0.3,-3,89
5270,554702,5547,3,1,10,1975,88,1986,21,40,46,102,55,47,101,53,96.7,42,107.2,68,-0.3,-3,125
5334,561501,5615,2,1,8,1976,65,1986,1,13,27,84,15,30,87,20,85.7,18,87.2,19,-0.3,-3,115
5549,582901,5829,1,1,5,1980,107,1986,69,18,18,107,68,18,105,64,96.1,39,-0.3,-3,-0.3,-3,72
5677,594801,5948,1,1,1,1979,88,1986,21,14,20,98,44,20,93,33,97.1,42,-0.3,-3,92.0,30,84
5703,597301,5973,2,1,6,1979,74,1986,4,9,18,95,38,18,94,35,105.8,66,-0.3,-3,105.0,63,82
5746,601501,6015,2,1,3,1978,108,1986,70,38,44,120,91,51,125,95,98.5,47,-0.3,-3,79.4,8,98
5763,603301,6033,2,2,4,1980,87,1986,19,11,18,107,68,18,105,64,75.9,5,84.7,16,-0.3,-3,71
5807,606601,6066,2,1,11,1978,107,1986,69,30,30,111,77,25,102,56,120.6,92,-0.3,-3,-0.3,-3,88
5827,608001,6080,2,2,6,1978,96,1986,39,25,45,123,94,53,128,97,-0.3,-3,-0.3,-3,-0.3,-3,93
5860,611801,6118,2,1,10,1978,84,1986,14,15,24,100,51,26,102,54,79.1,8,-0.3,-3,79.0,8,90
5883,616101,6161,2,1,11,1978,107,1986,69,30,24,103,58,32,112,78,69.0,2,-0.3,-3,59.4,0,88
5909,617701,6177,2,2,9,1977,81,1986,10,20,26,92,29,37,105,63,106.3,66,-0.3,-3,106.2,66,102
5976,623403,6234,2,1,8,1979,105,1986,62,21,19,102,54,21,102,55,81.6,12,94.4,34,-0.3,-3,79
5996,625802,6258,2,1,3,1978,88,1986,22,21,19,82,11,23,88,22,102.4,55,117.8,88,-0.3,-3,98
6022,627501,6275,2,2,11,1979,107,1986,69,20,19,105,64,19,102,56,93.7,34,88.6,23,-0.3,-3,75
