,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
2645,279603,2796,2,1,8,1979,96,1986,39,15,-3,-3,-3,20,100,50,64.1,1,71.1,3,70.8,3,79
2709,288601,2886,2,1,11,1976,-3,1986,-3,-3,37,97,41,38,97,42,123.0,94,113.3,81,124.1,95,113
2816,302701,3027,2,1,7,1976,100,1986,50,43,-3,-3,-3,54,117,87,95.5,39,87.2,19,105.0,63,118
2830,304101,3041,3,1,2,1975,131,1986,98,68,-3,-3,-3,80,135,99,94.3,34,83.3,13,108.0,70,132
2837,304501,3045,3,1,9,1976,80,1986,9,26,-3,-3,-3,25,79,8,68.1,2,54.5,0,92.3,30,115
2867,306601,3066,2,1,6,1979,81,1986,10,11,-3,-3,-3,21,99,47,99.2,47,100.2,50,98.2,45,82
2878,307501,3075,2,1,10,1980,116,1986,85,16,-3,-3,-3,31,106,65,91.2,27,105.5,66,78.2,7,65
2887,309501,3095,3,1,5,1976,-3,1986,-3,-3,56,121,92,58,122,93,115.1,84,106.8,68,117.8,88,117
2909,311301,3113,3,2,5,1980,102,1986,55,14,-3,-3,-3,20,117,87,108.6,73,112.5,81,100.6,53,70
3014,325901,3259,2,1,10,1977,96,1986,40,29,-3,-3,-3,19,74,4,72.6,4,63.2,1,92.8,32,100
3018,326001,3260,2,1,12,1977,97,1986,43,30,-3,-3,-3,24,88,22,64.9,1,81.4,10,59.3,0,98
3019,326002,3260,2,1,8,1979,98,1986,45,16,-3,-3,-3,20,100,50,68.0,2,71.1,3,77.7,7,78
3196,343501,3435,1,1,9,1978,94,1986,34,22,-3,-3,-3,20,85,16,75.2,5,66.1,1,92.0,30,92
3344,355401,3554,3,1,7,1980,-3,1986,-3,-3,-3,-3,-3,19,126,96,95.5,39,84.7,16,108.1,70,67
3395,360601,3606,3,1,12,1980,-3,1986,-3,-3,18,125,95,18,125,95,112.9,81,105.5,66,115.6,86,62
3454,365902,3659,3,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,95.1,37,104.8,63,84.6,16,59
3501,370401,3704,2,2,3,1976,-3,1986,-3,-3,44,103,58,44,101,53,94.3,34,95.3,37,94.6,37,120
3528,372601,3726,3,2,6,1979,-3,1986,-3,-3,23,108,70,25,109,72,110.9,77,106.0,66,111.9,79,81
3534,372801,3728,3,2,8,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,103.1,58,94.4,34,111.9,79,78
3566,375301,3753,3,2,10,1979,110,1986,74,25,-3,-3,-3,22,105,62,114.8,84,111.8,79,111.9,79,77
3765,397503,3975,2,2,5,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,52.4,0,60.1,0,60.7,0,59
3786,399501,3995,2,1,11,1979,105,1986,64,22,-3,-3,-3,38,128,97,110.9,77,106.0,66,111.9,79,79
3815,402401,4024,3,1,11,1972,-3,1986,-3,-3,39,80,9,34,74,4,102.3,55,95.3,37,108.0,70,161
3838,404102,4041,3,1,1,1980,103,1986,57,17,-3,-3,-3,19,102,56,107.0,68,94.4,34,118.7,90,75
3880,408901,4089,3,1,2,1979,104,1986,60,25,-3,-3,-3,22,98,45,102.6,58,117.1,87,85.5,18,84
3905,412001,4120,3,1,5,1977,131,1986,98,56,-3,-3,-3,44,111,76,88.1,21,81.4,10,99.5,50,105
3906,412002,4120,3,2,3,1980,110,1986,74,17,-3,-3,-3,19,115,84,95.5,39,98.6,47,93.1,32,71
3908,412102,4121,3,1,12,1977,84,1986,15,20,-3,-3,-3,26,93,32,95.8,39,93.5,34,99.5,50,98
3939,415701,4157,3,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,129.3,97,117.6,88,132.3,98,59
3963,418001,4180,2,2,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,95.1,37,98.4,45,92.5,32,59
4039,423601,4236,3,2,11,1980,126,1986,96,21,-3,-3,-3,-3,-3,-3,104.2,61,98.6,47,108.1,70,64
4074,428001,4280,3,1,11,1978,110,1986,75,33,-3,-3,-3,24,100,50,114.3,82,110.7,77,111.6,79,87
4104,430601,4306,3,2,2,1980,107,1986,69,20,-3,-3,-3,20,104,60,103.1,58,106.0,66,98.2,45,74
4169,440001,4400,3,2,9,1977,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,115.2,84,117.8,88,106.2,66,104
4382,463801,4638,3,1,11,1979,98,1986,46,15,-3,-3,-3,21,106,65,68.0,2,59.5,0,91.4,27,75
4486,473502,4735,3,2,4,1980,87,1986,19,11,-3,-3,-3,19,107,68,95.5,39,91.6,30,100.6,53,71
4537,478701,4787,3,1,12,1980,101,1986,52,12,-3,-3,-3,-3,-3,-3,91.2,27,112.5,81,70.7,3,62
