,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,MOVED,NUM_CHILDREN,STYPE
1975,13301,133,3,1,11,1992,131,2002,98,60,45,108,71,55,120,91,95.5,37,112.3,79,75.2,5,116,44,86000.0,0,0,1,1
1977,13801,138,3,1,2,1989,109,2002,73,63,50,94,35,68,111,76,104.8,63,115.2,84,89.3,23,159,80,89000.0,0,0,3,1
1978,13802,138,3,1,7,1991,114,2002,82,55,43,96,39,66,122,93,109.3,73,122.0,93,89.3,23,130,80,89000.0,0,0,3,1
1979,13803,138,3,2,7,1993,135,2002,99,58,46,116,86,60,131,98,100.0,50,117.6,88,76.3,5,106,80,89000.0,0,0,3,1
1984,16001,160,3,1,12,1990,106,2002,66,53,46,96,40,74,123,94,86.9,19,101.5,53,72.3,3,139,80,59160.0,0,0,1,1
1985,16101,161,3,1,4,1994,109,2002,73,41,67,135,99,69,135,99,117.8,88,111.0,77,120.8,92,100,31,96400.0,0,0,2,1
1986,16102,161,3,2,10,1996,125,2002,95,26,21,123,94,21,119,90,118.5,88,112.7,81,118.6,90,70,31,96400.0,0,0,2,1
1987,16501,165,3,2,8,1988,98,2002,44,54,65,109,72,80,128,97,104.8,63,108.3,70,97.8,45,165,43,17200.0,0,0,3,1
1988,16502,165,3,2,4,1992,114,2002,83,52,47,107,69,74,135,99,100.3,50,108.3,70,89.3,23,122,43,17200.0,0,0,3,1
1991,18303,183,3,2,1,1991,108,2002,71,53,47,99,47,50,100,50,118.2,88,115.2,84,114.8,84,136,57,100000.0,0,0,3,1
1992,19001,190,3,2,4,1995,106,2002,66,29,39,118,89,37,117,87,83.9,14,86.0,18,85.9,18,86,73,108000.0,0,0,1,1
1993,19201,192,3,2,5,1991,131,2002,98,68,49,104,60,62,116,86,118.2,88,115.2,84,114.8,84,134,72,105000.0,0,0,3,1
1997,22704,227,2,1,1,1994,85,2002,16,21,31,103,57,26,93,32,86.7,19,91.2,27,85.2,16,101,7,2588.0,1,0,4,1
1998,22901,229,3,1,3,1992,102,2002,54,45,37,91,27,40,94,35,122.7,94,122.0,93,114.8,84,123,38,33820.0,0,0,1,1
1999,23601,236,3,1,6,1988,112,2002,79,67,61,104,60,77,120,91,122.7,94,122.0,93,114.8,84,170,63,86000.0,0,0,3,1
2000,23602,236,3,1,12,1990,114,2002,83,60,40,87,20,49,97,43,113.7,82,115.2,84,106.3,66,140,63,86000.0,0,0,3,1
2001,23603,236,3,1,4,1995,104,2002,60,27,20,95,36,22,95,36,102.9,58,108.8,73,94.7,37,87,63,86000.0,0,0,3,1
2003,24501,245,3,2,3,1992,114,2002,82,53,41,96,39,50,107,69,113.7,82,108.3,70,114.8,84,122,85,56030.0,0,0,3,1
2004,24502,245,3,2,4,1996,119,2002,90,25,20,114,82,28,128,97,111.0,77,101.2,53,118.5,88,73,85,56030.0,0,0,3,1
2005,24903,249,3,1,5,1993,98,2002,45,40,36,98,44,38,99,47,80.8,10,90.1,25,75.2,5,108,39,62600.0,0,0,3,1
2010,25504,255,3,2,6,1991,125,2002,95,65,49,104,60,70,125,95,118.2,88,115.2,84,114.8,84,133,42,80000.0,0,0,5,1
2023,29202,292,3,1,9,1991,123,2002,94,64,62,120,91,61,116,85,109.3,73,108.3,70,106.3,66,132,89,91100.0,0,0,2,1
2035,35401,354,3,1,4,1989,121,2002,92,69,71,118,89,74,119,90,82.4,12,94.7,37,72.3,3,157,71,72300.0,0,0,2,1
2036,35402,354,3,2,8,1995,112,2002,79,29,27,113,80,28,114,82,76.0,5,86.4,18,67.7,2,82,71,72300.0,0,0,2,1
2042,40701,407,3,2,6,1994,102,2002,54,32,45,121,92,36,109,73,113.4,81,104.4,61,120.8,92,96,40,135000.0,0,0,2,1
2043,40702,407,3,1,8,1996,110,2002,74,17,20,120,91,20,117,87,113.0,81,112.7,81,108.4,70,70,40,135000.0,0,0,2,1
2051,43102,431,3,1,3,1989,92,2002,30,47,56,103,57,61,103,58,86.9,19,81.0,10,97.8,45,159,71,121450.0,0,0,3,1
2052,43103,431,3,2,3,1990,112,2002,79,62,59,110,74,76,125,95,113.7,82,108.3,70,114.8,84,147,71,121450.0,0,0,3,1
2055,44401,444,3,2,3,1990,107,2002,69,57,62,112,79,72,120,91,118.2,88,115.2,84,114.8,84,146,72,69754.0,0,0,2,1
2056,44402,444,3,2,5,1993,104,2002,60,42,49,118,88,57,126,96,110.2,75,119.7,91,93.4,32,108,72,69754.0,0,0,2,1
2061,45901,459,3,1,2,1991,125,2002,95,66,52,106,65,70,119,90,118.2,88,115.2,84,114.8,84,135,87,101500.0,0,0,3,1
2062,45902,459,3,1,11,1992,135,2002,99,66,51,117,87,61,126,96,120.0,91,119.7,91,111.6,79,114,87,101500.0,0,0,3,1
2063,45903,459,3,1,5,1995,135,2002,99,52,33,117,87,33,116,86,107.6,70,108.8,73,103.6,61,84,87,101500.0,0,0,3,1
2070,48502,485,3,1,1,1990,108,2002,70,58,47,94,35,64,111,76,104.8,63,108.3,70,97.8,45,148,14,63000.0,0,0,3,1
2071,48503,485,3,1,11,1991,105,2002,64,48,67,126,96,59,118,88,95.9,39,94.7,37,97.8,45,126,14,63000.0,0,0,3,1
2075,49502,495,3,2,6,1988,116,2002,86,70,57,100,50,79,125,95,82.4,12,81.0,10,89.3,23,171,64,33585.0,0,0,2,1
2080,53301,533,3,2,4,1993,95,2002,38,38,41,103,59,41,103,57,110.2,75,104.9,63,111.6,79,112,47,64600.0,0,0,1,1
2081,53602,536,3,1,11,1990,102,2002,55,50,50,101,53,44,91,27,91.4,27,81.0,10,106.3,66,140,4,5328.0,0,0,2,1
2082,54401,544,3,2,4,1989,106,2002,66,61,60,106,66,62,104,61,109.3,73,101.5,53,114.8,84,158,23,74000.0,0,0,1,1
2091,56701,567,3,2,8,1993,111,2002,76,44,47,118,88,46,113,80,100.0,50,97.8,45,103.0,58,107,51,260236.5,0,0,2,1
2092,56702,567,3,1,4,1995,100,2002,49,24,24,103,58,22,95,36,102.9,58,101.2,53,103.6,61,86,51,431605.0,0,0,2,1
2093,56801,568,3,2,5,1991,125,2002,95,65,44,95,38,44,94,35,64.6,1,67.3,1,72.3,3,132,46,,0,0,1,1
2101,58803,588,3,1,8,1989,75,2002,5,37,20,65,1,24,65,1,95.9,39,94.7,37,97.8,45,153,2,10752.0,0,0,4,1
2105,61906,619,3,2,9,1988,89,2002,23,46,46,87,20,50,91,28,104.8,63,101.5,53,106.3,66,167,50,33000.0,0,0,6,1
2106,62102,621,2,1,8,1989,125,2002,95,70,31,75,5,58,103,57,86.9,19,81.0,10,97.8,45,153,1,19000.0,0,0,3,1
2107,62103,621,2,2,4,1994,78,2002,7,14,21,88,21,23,88,22,100.0,50,104.4,61,94.1,34,97,1,19000.0,0,0,3,1
2110,62703,627,3,1,12,1989,115,2002,84,64,62,111,76,61,106,66,78.0,7,81.0,10,80.8,10,149,87,66000.0,0,0,4,1
2111,64002,640,3,1,8,1989,100,2002,49,51,50,96,40,58,103,57,86.9,19,94.7,37,80.8,10,154,67,79300.0,0,0,2,1
2116,66401,664,3,2,4,1988,125,2002,95,75,70,114,83,78,122,93,100.3,50,101.5,53,97.8,45,170,51,112500.0,0,0,2,1
2117,66402,664,3,2,6,1993,92,2002,30,33,38,102,55,43,107,68,105.3,63,104.9,63,102.5,58,108,51,112500.0,0,0,2,1
2118,67702,677,2,1,3,1989,105,2002,63,60,59,105,63,80,131,98,91.4,27,101.5,53,80.8,10,158,41,29000.0,0,0,4,1
2121,68802,688,3,2,12,1989,113,2002,80,63,53,103,57,57,103,57,82.4,12,87.8,21,80.8,10,150,35,34000.0,0,0,2,1
2123,72402,724,3,1,4,1988,110,2002,75,65,46,86,18,73,116,85,73.5,4,81.0,10,72.3,3,170,77,29500.0,0,0,2,1
2126,73303,733,3,2,10,1989,84,2002,14,42,48,93,33,54,99,47,113.7,82,115.2,84,106.3,66,153,18,50200.0,0,0,4,1
2127,73304,733,3,1,4,1991,103,2002,57,49,41,89,24,42,90,25,109.3,73,108.3,70,106.3,66,135,18,50200.0,0,0,4,1
2128,74301,743,3,1,5,1992,128,2002,97,64,48,107,67,55,114,83,113.7,82,115.2,84,106.3,66,122,82,96150.0,1,0,2,1
2129,74302,743,3,2,5,1992,102,2002,54,45,45,102,56,54,113,81,109.3,73,108.3,70,106.3,66,122,82,96150.0,1,0,2,1
2130,74602,746,3,1,7,1990,105,2002,64,54,46,94,34,44,89,24,91.4,27,81.0,10,106.3,66,144,68,46025.0,0,0,2,1
2131,75201,752,3,1,7,1989,111,2002,76,63,71,118,89,71,116,86,82.4,12,101.5,53,63.8,1,156,84,86000.0,1,0,2,1
2132,75202,752,3,2,12,1994,103,2002,57,28,45,125,95,33,111,76,74.5,4,93.6,34,59.5,0,91,84,86000.0,1,0,2,1
2136,76103,761,3,1,12,1993,109,2002,73,42,38,107,68,43,112,78,100.0,50,104.4,61,94.1,34,102,51,17000.0,1,0,3,1
2137,76803,768,3,2,7,1989,92,2002,30,46,47,92,29,61,105,62,73.5,4,67.3,1,89.3,23,155,66,106000.0,0,0,4,1
2138,76804,768,3,1,8,1993,100,2002,51,40,29,93,31,45,109,73,82.3,12,78.0,7,94.1,34,106,66,106000.0,0,0,4,1
2139,79203,792,3,1,5,1989,125,2002,95,71,45,89,23,58,102,54,95.9,39,101.5,53,89.3,23,156,26,93114.0,0,0,4,1
2141,80501,805,3,1,7,1994,104,2002,60,34,27,99,47,29,100,51,82.3,12,91.2,27,76.3,5,95,27,51590.0,0,0,1,1
2143,81101,811,3,2,4,1993,135,2002,99,63,55,123,94,56,122,93,115.1,84,104.9,63,120.7,92,110,67,43010.0,0,0,1,1
2155,83901,839,2,2,1,1993,74,2002,4,21,25,80,9,23,74,4,90.6,27,90.1,25,93.4,32,113,7,55000.0,0,0,1,1
2158,87501,875,3,1,7,1991,103,2002,59,48,48,104,60,45,97,42,95.9,39,101.5,53,89.3,23,130,33,390662.0,0,0,1,1
2167,89502,895,3,1,2,1996,111,2002,77,23,19,105,64,19,102,56,111.0,77,101.2,53,118.5,88,75,85,60400.0,0,0,2,1
2169,89801,898,3,2,9,1989,93,2002,31,46,75,125,95,54,99,47,127.1,96,122.0,93,123.3,94,153,74,82000.0,0,0,3,1
2170,89802,898,3,1,11,1991,121,2002,92,59,53,114,82,61,119,90,122.7,94,122.0,93,114.8,84,126,74,82000.0,0,0,3,1
2171,89803,898,3,2,3,1995,111,2002,77,34,36,116,86,41,120,91,121.8,93,124.0,95,112.4,79,87,74,82000.0,0,0,3,1
2172,90001,900,3,1,8,1988,109,2002,73,64,73,119,90,66,106,66,109.3,73,115.2,84,97.8,45,166,73,99150.0,0,0,4,1
2173,90002,900,3,2,7,1990,121,2002,92,65,66,117,87,73,122,93,109.3,73,108.3,70,106.3,66,143,73,99150.0,0,0,4,1
2174,90003,900,3,1,3,1996,108,2002,71,21,25,119,90,26,120,91,111.0,77,115.9,86,101.6,55,75,73,99150.0,0,0,4,1
2175,90601,906,3,2,1,1995,102,2002,54,27,37,115,84,45,121,92,102.9,58,101.2,53,103.6,61,90,89,72500.0,0,0,3,1
2178,92303,923,3,2,1,1989,116,2002,85,67,55,100,50,79,126,96,95.9,39,108.3,70,80.8,10,163,27,52360.0,1,0,3,1
2180,93602,936,3,1,4,1989,113,2002,80,65,52,98,44,62,104,61,91.4,27,74.1,4,114.8,84,158,54,66000.0,0,0,3,1
2189,97401,974,3,1,4,1989,107,2002,69,62,67,112,79,48,90,26,100.3,50,101.5,53,97.8,45,158,69,68000.0,0,0,2,1
2190,97402,974,3,1,8,1991,117,2002,87,57,43,96,39,54,110,75,104.8,63,101.5,53,106.3,66,130,69,68000.0,0,0,2,1
2193,101701,1017,3,2,3,1989,90,2002,26,46,53,99,48,63,105,64,104.8,63,115.2,84,89.3,23,158,71,96100.0,0,0,2,1
2194,101702,1017,3,1,6,1992,112,2002,78,50,40,97,41,32,87,20,104.8,63,101.5,53,106.3,66,120,71,96100.0,0,0,2,1
2195,102401,1024,3,2,2,1991,122,2002,93,64,49,102,56,58,112,78,109.3,73,122.0,93,89.3,23,137,76,88100.0,0,0,1,1
2197,103801,1038,3,1,2,1991,93,2002,33,44,28,74,4,30,77,6,86.9,19,87.8,21,89.3,23,137,56,90008.0,0,0,2,1
2198,103802,1038,3,1,5,1994,109,2002,73,39,39,113,80,41,114,82,91.2,27,91.2,27,94.1,34,98,56,90008.0,0,0,2,1
2202,106502,1065,3,1,2,1988,89,2002,23,47,56,99,47,69,110,75,100.3,50,81.0,10,123.3,94,172,77,50693.333333333336,0,0,3,1
2203,106503,1065,3,2,8,1991,102,2002,55,47,48,104,60,55,112,78,109.3,73,94.7,37,123.3,94,130,77,62000.0,0,0,3,1
2204,108002,1080,3,1,10,1990,125,2002,95,67,61,113,81,56,105,64,109.3,73,101.5,53,114.8,84,140,53,49500.0,0,0,3,1
2205,108003,1080,3,1,9,1993,123,2002,94,51,42,110,74,37,103,57,104.5,61,97.8,45,111.9,79,105,53,49500.0,0,0,3,1
2208,109301,1093,3,1,2,1993,135,2002,99,67,46,112,78,53,118,89,120.0,91,112.3,79,120.7,92,112,49,114000.0,0,0,3,1
2209,109302,1093,3,2,9,1994,126,2002,96,49,29,105,62,31,105,64,121.8,93,116.4,86,121.2,92,93,49,114000.0,0,0,3,1
2213,111702,1117,1,2,3,1993,135,2002,99,64,46,112,78,83,135,99,120.0,91,112.3,79,120.7,92,111,40,165600.0,0,0,3,1
2214,113001,1130,1,2,7,1989,120,2002,91,67,59,108,70,77,125,95,118.2,88,122.0,93,106.3,66,154,45,167150.0,0,0,2,1
2215,113002,1130,1,2,10,1992,107,2002,67,46,28,85,16,26,79,8,100.4,50,104.9,63,93.4,32,116,45,167150.0,0,0,2,1
2217,116002,1160,2,2,4,1988,103,2002,58,61,45,85,16,62,102,54,100.3,50,101.5,53,97.8,45,170,26,48.0,0,0,6,1
2218,116402,1164,3,1,2,1989,86,2002,17,44,49,92,29,58,99,48,91.4,27,81.0,10,106.3,66,160,-4,5200.0,0,0,2,1
2219,116602,1166,2,2,12,1989,93,2002,33,46,42,86,18,42,84,15,86.9,19,94.7,37,80.8,10,149,45,47000.0,0,0,2,1
2221,117701,1177,3,1,8,1988,131,2002,98,77,69,113,81,81,131,98,109.3,73,108.3,70,106.3,66,168,97,73000.0,0,0,2,1
2222,117702,1177,3,1,8,1992,114,2002,83,52,53,116,86,54,114,83,100.3,50,87.8,21,114.8,84,120,97,73000.0,0,0,2,1
2223,117902,1179,3,1,8,1988,111,2002,77,65,54,98,45,49,90,26,82.4,12,81.0,10,89.3,23,165,63,53000.0,0,0,2,1
2228,121604,1216,2,2,4,1988,87,2002,19,45,46,86,17,74,116,86,95.9,39,87.8,21,106.3,66,169,10,22400.0,0,0,4,1
2229,122103,1221,2,1,1,1989,81,2002,10,41,24,65,1,26,65,1,73.5,4,67.3,1,89.3,23,161,1,45000.0,0,0,3,1
2236,127903,1279,3,1,5,1988,119,2002,90,71,59,102,56,64,104,60,95.9,39,101.5,53,89.3,23,169,86,116000.0,0,0,3,1
2237,128602,1286,2,2,10,1993,96,2002,39,34,27,91,27,37,103,57,100.0,50,117.6,88,76.3,5,104,10,33000.0,0,0,2,1
2238,129501,1295,2,1,7,1988,90,2002,26,47,50,92,30,66,106,66,86.9,19,74.1,4,106.3,66,166,6,7788.0,0,0,4,1
2239,129502,1295,2,1,11,1989,87,2002,20,43,41,85,16,55,101,52,78.0,7,60.5,0,106.3,66,150,6,7788.0,0,0,4,1
2240,129602,1296,3,1,10,1988,89,2002,23,46,40,81,10,34,74,4,85.6,18,81.0,10,96.1,39,166,27,4840.0,0,0,2,1
2243,131302,1313,2,1,3,1993,93,2002,32,34,49,118,88,44,108,71,71.0,3,68.0,2,84.3,14,110,1,4620.0,0,0,2,1
2244,132301,1323,3,1,8,1992,135,2002,99,64,64,128,97,52,114,82,110.2,75,112.3,79,102.5,58,117,80,101833.33333333333,0,0,2,1
2254,136001,1360,3,2,12,1988,91,2002,27,47,59,104,61,61,102,56,94.5,37,87.8,21,104.6,63,161,33,60116.666666666664,0,0,1,1
2256,137502,1375,2,2,9,1992,91,2002,28,38,21,69,2,32,88,22,90.6,27,104.9,63,75.2,5,117,29,18266.0,0,0,2,1
2257,138901,1389,2,2,11,1988,94,2002,35,49,49,92,29,81,135,99,90.0,25,77.6,7,106.3,66,163,37,92944.0,0,0,2,1
2258,138902,1389,2,1,10,1989,105,2002,63,57,52,100,50,71,117,87,90.0,25,77.6,7,106.3,66,152,37,92944.0,0,0,2,1
2259,139902,1399,1,2,3,1992,126,2002,96,63,49,108,71,47,103,57,95.9,39,94.7,37,97.8,45,122,63,99200.0,0,0,2,1
2262,141002,1410,3,2,5,1991,121,2002,92,63,54,111,76,64,116,86,91.4,27,108.3,70,72.3,3,135,76,74000.0,0,0,2,1
2273,152201,1522,2,2,11,1989,107,2002,69,59,57,107,67,65,110,74,104.8,63,108.3,70,97.8,45,150,78,69020.0,0,0,1,1
2274,152505,1525,3,1,8,1992,110,2002,75,48,41,100,50,42,100,51,80.8,10,82.8,13,84.3,14,117,25,43000.0,0,0,5,1
2276,153203,1532,3,2,8,1996,105,2002,63,15,19,117,87,24,126,96,73.5,4,77.5,6,77.9,7,69,35,38814.0,1,0,4,1
2277,153302,1533,1,1,8,1989,97,2002,42,49,53,102,54,60,104,61,82.4,12,81.0,10,89.3,23,154,22,11712.0,0,0,2,1
2279,154904,1549,3,1,9,1988,93,2002,32,49,50,92,30,41,80,9,91.4,27,87.8,21,97.8,45,164,25,3060.0,0,0,4,1
2280,155301,1553,3,2,3,1988,116,2002,86,70,73,118,88,61,100,49,127.1,96,122.0,93,123.3,94,171,81,66400.0,0,0,1,1
2283,158702,1587,3,2,4,1990,123,2002,94,67,72,123,94,77,126,96,109.3,73,115.2,84,97.8,45,146,91,43800.0,0,0,2,1
2286,162501,1625,3,2,3,1996,106,2002,65,19,21,112,78,22,109,72,97.9,45,101.2,53,93.1,32,75,87,77300.0,0,0,2,1
2287,162902,1629,3,1,7,1988,109,2002,73,64,58,102,56,66,106,66,113.7,82,122.0,93,97.8,45,167,59,113500.0,0,0,2,1
2288,163401,1634,3,2,10,1991,97,2002,43,44,44,99,47,57,116,85,104.8,63,94.7,37,114.8,84,128,96,92000.0,0,0,1,1
2294,165502,1655,3,2,6,1988,94,2002,34,50,41,81,10,47,87,20,100.3,50,108.3,70,89.3,23,168,55,63400.0,0,0,2,1
2296,165701,1657,3,1,1,1991,86,2002,17,41,41,89,24,30,77,6,73.5,4,81.0,10,72.3,3,136,87,62000.0,0,0,2,1
2297,165702,1657,3,1,10,1994,92,2002,29,20,26,103,57,28,104,61,83.9,14,93.6,34,77.1,6,91,87,62000.0,0,0,2,1
2298,165801,1658,3,2,8,1994,103,2002,57,30,28,103,58,32,107,67,117.1,87,116.4,86,112.4,79,94,95,42833.0,0,0,2,1
2299,166602,1666,1,2,3,1988,88,2002,21,46,54,97,42,69,110,75,118.2,88,115.2,84,114.8,84,172,8,88000.0,0,0,3,1
2300,166603,1666,1,2,11,1989,89,2002,24,44,50,97,43,31,74,4,113.7,82,108.3,70,114.8,84,152,8,88000.0,0,0,3,1
2303,167602,1676,3,1,5,1990,135,2002,99,82,73,125,95,76,125,95,109.3,73,108.3,70,106.3,66,145,86,126100.0,0,0,2,1
2309,173503,1735,3,2,5,1995,101,2002,52,25,27,107,67,33,113,80,117.1,87,124.0,95,103.6,61,86,59,75000.0,0,0,3,1
2310,174501,1745,3,2,12,1991,103,2002,59,48,45,99,47,33,82,12,113.3,81,122.0,93,96.1,39,127,79,128000.0,0,0,3,1
2313,176801,1768,3,1,4,1991,65,2002,1,14,28,74,4,43,91,28,104.8,63,108.3,70,97.8,45,134,40,42000.0,0,0,1,1
2320,180402,1804,3,1,10,1990,135,2002,99,75,75,126,96,73,122,93,113.7,82,115.2,84,106.3,66,143,90,95000.0,0,0,3,1
2321,180403,1804,3,1,5,1994,118,2002,88,45,43,116,86,42,112,79,108.9,73,111.0,77,103.0,58,99,90,95000.0,0,0,3,1
2322,182903,1829,2,1,11,1990,102,2002,56,50,41,89,23,52,102,55,86.9,19,108.3,70,63.8,1,138,9,3285.0,0,0,4,1
2323,184201,1842,3,2,1,1994,135,2002,99,61,52,126,96,55,126,96,108.9,73,111.0,77,103.0,58,102,65,102537.0,0,0,1,1
2324,185303,1853,3,1,11,1992,90,2002,25,37,46,108,70,54,117,87,110.2,75,104.9,63,111.6,79,117,61,99400.0,0,0,4,1
2325,186205,1862,3,2,4,1989,100,2002,51,53,54,102,56,68,112,79,118.2,88,122.0,93,106.3,66,158,32,70000.0,0,0,5,1
2326,186302,1863,3,1,9,1990,107,2002,69,55,49,100,49,49,97,41,104.8,63,101.5,53,106.3,66,141,58,40300.0,0,0,3,1
2333,189601,1896,3,1,11,1988,112,2002,79,65,75,122,93,67,108,71,127.1,96,122.0,93,123.3,94,163,85,66300.0,0,0,2,1
2334,189602,1896,3,1,3,1992,111,2002,77,51,51,111,77,61,120,91,122.7,94,122.0,93,114.8,84,123,85,66300.0,0,0,2,1
2338,191201,1912,3,2,12,1988,103,2002,58,59,50,93,32,65,106,66,118.2,88,108.3,70,123.3,94,162,48,97396.0,0,0,2,1
2340,192602,1926,3,2,10,1989,104,2002,60,56,49,95,36,61,105,64,113.7,82,108.3,70,114.8,84,153,32,80000.0,0,0,2,1
2347,195101,1951,3,2,4,1995,116,2002,85,35,22,103,58,26,107,69,107.6,70,101.2,53,112.4,79,85,43,115000.0,0,0,2,1
2348,195301,1953,3,1,8,1993,131,2002,98,58,46,114,82,64,135,99,113.4,81,111.0,77,111.9,79,107,80,186342.0,0,0,1,1
2350,197402,1974,3,1,3,1988,135,2002,99,83,58,101,53,74,116,86,109.3,73,108.3,70,106.3,66,171,99,80500.0,0,0,2,1
2352,199703,1997,3,2,10,1990,128,2002,97,68,64,117,87,60,111,77,118.2,88,122.0,93,106.3,66,140,-4,61000.0,0,0,4,1
2356,204201,2042,3,1,6,1993,123,2002,94,53,47,115,84,48,113,80,105.3,63,104.9,63,102.5,58,108,89,120300.0,0,0,2,1
2359,205802,2058,2,2,9,1992,115,2002,84,51,52,117,87,63,126,96,115.1,84,119.7,91,102.5,58,118,70,102000.0,0,0,2,1
2360,206202,2062,3,1,3,1988,92,2002,30,49,50,91,27,64,103,59,109.3,73,101.5,53,114.8,84,172,30,119000.0,0,0,2,1
2361,206603,2066,3,2,11,1988,98,2002,46,55,45,86,18,61,101,53,100.3,50,94.7,37,106.3,66,164,20,70000.0,0,0,4,1
2362,206604,2066,3,2,2,1990,101,2002,52,52,43,87,20,58,103,59,113.7,82,101.5,53,123.3,94,149,20,70000.0,0,0,4,1
2363,207002,2070,3,2,5,1988,105,2002,62,62,52,95,36,64,104,60,104.8,63,101.5,53,106.3,66,168,12,105000.0,0,0,2,1
2365,207202,2072,3,2,10,1989,123,2002,94,69,50,97,43,67,112,79,122.7,94,115.2,84,123.3,94,151,80,82798.0,0,0,2,1
2366,207301,2073,3,2,12,1989,95,2002,36,47,49,96,39,58,103,59,86.9,19,81.0,10,97.8,45,149,86,45000.0,0,0,2,1
2371,208801,2088,3,1,7,1989,103,2002,58,56,54,102,56,82,135,99,104.8,63,87.8,21,123.3,94,156,67,64000.0,0,0,2,1
2372,208802,2088,3,2,9,1991,125,2002,95,64,47,102,55,64,120,91,109.3,73,94.7,37,123.3,94,130,67,64000.0,0,0,2,1
2373,210304,2103,3,2,11,1991,110,2002,74,52,46,100,51,49,102,55,109.3,73,101.5,53,114.8,84,128,52,80050.0,0,0,4,1
2376,211203,2112,3,1,3,1989,110,2002,75,64,60,105,63,74,118,88,118.2,88,108.3,70,123.3,94,159,82,47000.0,0,0,3,1
2377,212301,2123,3,2,5,1989,93,2002,32,47,49,94,35,56,100,50,122.7,94,115.2,84,123.3,94,157,56,54100.0,0,0,2,1
2378,212302,2123,3,1,7,1992,131,2002,98,61,31,89,24,36,93,32,120.0,91,112.3,79,120.7,92,119,56,54100.0,0,0,2,1
2379,212401,2124,3,1,2,1995,111,2002,77,34,25,104,60,31,110,75,112.4,79,108.8,73,112.4,79,87,67,90200.0,0,0,1,1
2380,212601,2126,3,1,1,1995,126,2002,96,46,41,120,91,33,113,80,93.4,32,101.2,53,85.9,18,88,66,41000.0,0,0,1,1
2382,213301,2133,3,2,3,1988,100,2002,49,58,57,100,50,55,94,35,118.2,88,108.3,70,123.3,94,171,51,84600.0,0,0,1,1
2383,215304,2153,3,2,2,1992,103,2002,58,46,48,107,67,44,99,47,82.4,12,67.3,1,106.3,66,124,39,8869.0,1,0,4,1
2384,215501,2155,3,1,12,1995,103,2002,57,19,22,109,73,19,98,46,115.4,84,108.6,73,118.5,88,79,70,150000.0,0,0,2,1
2385,215601,2156,3,2,3,1996,93,2002,31,13,22,115,84,22,109,72,102.3,55,108.6,73,93.1,32,76,32,48000.0,1,0,1,1
2387,216701,2167,3,2,11,1991,116,2002,85,55,48,105,64,52,108,71,104.8,63,101.5,53,106.3,66,126,32,76000.0,0,0,2,1
2388,216702,2167,3,1,3,1994,118,2002,89,46,28,98,45,35,105,64,95.6,39,91.2,27,103.0,58,99,32,76000.0,0,0,2,1
2391,219003,2190,3,2,11,1989,120,2002,91,67,57,106,65,79,128,97,118.2,88,108.3,70,123.3,94,153,25,53500.0,0,0,3,1
2393,220301,2203,3,1,2,1989,111,2002,77,64,58,104,61,56,98,46,86.9,19,94.7,37,80.8,10,161,28,24160.0,0,0,1,1
2394,220401,2204,3,1,8,1990,96,2002,39,46,58,111,77,46,93,32,82.4,12,74.1,4,97.8,45,142,61,72000.0,0,0,2,1
2395,220402,2204,3,1,5,1993,99,2002,47,39,35,99,47,37,100,49,105.3,63,90.1,25,120.7,92,110,61,72000.0,0,0,2,1
2397,221202,2212,2,1,2,1992,128,2002,97,64,48,107,67,41,95,38,109.3,73,108.3,70,106.3,66,124,13,26102.0,0,0,2,1
2399,221502,2215,3,1,1,1988,108,2002,71,65,62,104,61,68,107,69,69.0,2,53.6,0,97.8,45,173,74,32600.0,0,0,4,1
2400,222402,2224,3,2,3,1996,107,2002,69,20,21,112,78,23,112,78,84.8,16,79.0,8,93.1,32,76,13,36360.0,0,0,2,1
2401,222501,2225,2,1,10,1992,113,2002,81,50,41,100,50,55,118,89,95.5,37,90.1,25,102.5,58,117,16,47993.0,0,0,1,1
2402,223001,2230,3,1,12,1994,92,2002,29,20,27,104,61,23,94,35,88.7,23,86.0,18,94.7,37,91,78,54800.0,0,0,2,1
2404,223402,2234,3,2,3,1988,116,2002,86,70,55,98,44,75,118,88,104.8,63,101.5,53,106.3,66,172,41,80000.0,0,0,2,1
2405,223702,2237,3,1,11,1989,119,2002,90,66,73,122,93,67,112,79,122.7,94,122.0,93,114.8,84,150,88,75000.0,0,0,3,1
2406,223703,2237,3,1,2,1995,105,2002,63,28,46,128,97,50,128,97,112.4,79,116.4,86,103.6,61,88,88,75000.0,0,0,3,1
2413,227102,2271,2,1,7,1993,114,2002,83,46,48,119,90,38,104,60,108.9,73,104.4,61,111.9,79,106,16,33000.0,0,0,2,1
2416,228701,2287,3,2,8,1992,128,2002,97,62,63,126,96,71,131,98,120.0,91,119.7,91,111.6,79,119,89,92000.0,0,0,3,1
2417,228702,2287,3,2,8,1994,109,2002,73,39,49,126,96,54,128,97,98.1,45,108.8,73,85.9,18,95,89,92000.0,0,0,3,1
2421,229201,2292,3,1,4,1994,123,2002,94,49,40,111,77,57,131,98,108.9,73,111.0,77,103.0,58,98,74,,0,0,3,1
