,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,MOVED,NUM_CHILDREN,STYPE
62,24903,249,3,1,5,1993,102,2000,56,26,19,91,28,30,109,73,109.4,73,105.9,66,109.5,75,87,39,57400.0,0,0,3,1
63,25002,250,3,2,4,1986,92,2000,30,49,64,107,68,66,105,64,115.3,84,106.1,66,121.0,92,171,-4,39000.0,0,0,2,1
77,27801,278,3,2,4,1987,111,2000,77,64,60,106,66,80,131,98,106.6,68,106.1,66,104.4,61,158,44,10800.0,0,0,3,1
79,28802,288,3,1,7,1986,103,2000,58,61,52,95,36,56,96,39,97.9,45,85.7,18,112.7,81,169,14,17654.0,0,0,6,1
95,35401,354,3,1,4,1989,123,2000,94,64,48,102,55,83,135,99,106.6,68,106.1,66,104.4,61,133,71,65000.0,0,0,2,1
96,36901,369,3,2,8,1991,135,2000,99,62,43,112,78,58,128,97,111.4,77,107.4,68,112.2,79,105,94,70200.0,0,0,2,1
97,38501,385,2,1,2,1986,74,2000,4,40,24,65,1,30,69,2,106.6,68,106.1,66,104.4,61,172,35,37000.0,0,0,3,1
98,38502,385,2,2,4,1987,65,2000,1,20,36,78,7,48,90,26,106.6,68,99.3,47,112.7,81,158,35,37000.0,0,0,3,1
99,38801,388,2,2,1,1987,103,2000,58,58,46,89,24,62,104,61,101.4,53,92.5,32,111.8,79,161,71,80000.0,0,0,3,1
100,38802,388,2,1,5,1990,89,2000,24,38,23,74,4,23,72,3,101.4,53,99.3,47,102.7,58,120,71,80000.0,0,0,3,1
103,40102,401,3,2,2,1988,87,2000,20,43,52,101,53,49,93,33,110.9,77,119.6,91,96.1,39,150,24,27900.0,0,0,2,1
106,41401,414,3,2,7,1986,93,2000,31,49,50,92,29,52,92,30,119.6,91,119.6,91,112.7,81,167,64,55200.0,0,0,2,1
112,43101,431,3,1,6,1987,111,2000,76,63,48,93,31,59,102,56,93.5,34,85.7,18,104.4,61,157,71,83040.0,0,0,3,1
113,43102,431,3,1,3,1989,103,2000,57,49,63,119,90,59,113,80,93.5,34,85.7,18,104.4,61,136,71,83040.0,0,0,3,1
114,43103,431,3,2,3,1990,116,2000,85,54,47,105,64,47,103,57,110.9,77,106.1,66,112.7,81,124,71,83040.0,0,0,3,1
115,43703,437,3,1,5,1987,94,2000,34,48,41,83,13,58,100,51,84.8,16,78.9,8,96.1,39,158,64,76000.0,0,0,3,1
116,43801,438,3,2,6,1987,98,2000,44,50,60,107,68,54,98,45,97.9,45,99.3,47,96.1,39,157,80,46714.0,0,0,1,1
118,44401,444,3,2,3,1990,112,2000,79,52,68,128,97,70,128,97,110.9,77,106.1,66,112.7,81,123,72,60000.0,0,0,2,1
119,44402,444,3,2,5,1993,112,2000,78,31,43,125,95,52,135,99,109.4,73,105.9,66,109.5,75,85,72,60000.0,0,0,2,1
123,45901,459,3,1,2,1991,135,2000,99,63,49,116,85,62,131,98,120.5,91,116.5,86,119.0,90,112,87,85000.0,0,0,3,1
124,45902,459,3,1,11,1992,112,2000,78,37,26,103,57,34,112,78,119.1,90,113.1,81,118.9,90,90,87,85000.0,0,0,3,1
125,46702,467,3,1,2,1990,120,2000,91,58,43,97,43,63,121,92,115.3,84,119.6,91,104.4,61,125,95,41500.0,0,0,2,1
130,48502,485,3,1,1,1990,107,2000,68,49,46,102,55,59,118,88,106.6,68,106.1,66,104.4,61,125,14,12000.0,0,0,3,1
131,48503,485,3,1,11,1991,105,2000,64,40,26,92,29,48,117,87,119.9,91,121.0,92,112.2,79,103,14,12000.0,0,0,3,1
139,53301,533,3,2,4,1993,101,2000,52,25,24,103,58,39,118,89,94.9,37,84.3,14,109.5,75,87,47,54000.0,0,0,1,1
140,53602,536,3,1,11,1990,105,2000,63,45,46,108,70,40,98,44,96.8,42,86.3,18,110.0,75,116,4,3540.0,0,0,2,1
141,54202,542,3,2,2,1987,126,2000,96,73,78,125,95,63,105,62,110.9,77,112.9,81,104.4,61,162,-4,68000.0,0,0,2,1
142,54401,544,3,2,4,1989,115,2000,84,58,49,102,56,68,120,91,115.3,84,112.9,81,112.7,81,134,23,68000.0,0,0,1,1
143,54803,548,3,2,11,1990,118,2000,88,53,48,111,77,52,114,82,82.6,13,78.7,8,91.8,30,118,63,52200.0,0,0,4,1
144,55202,552,3,2,10,1987,135,2000,99,80,64,111,77,81,135,99,102.2,55,106.1,66,96.1,39,153,97,,0,0,2,1
151,56701,567,3,2,8,1993,105,2000,64,26,33,117,87,37,120,91,114.2,82,113.1,81,109.5,75,84,51,112000.0,0,0,2,1
152,56801,568,3,2,5,1991,113,2000,81,48,36,98,44,37,98,44,96.8,42,101.4,53,91.8,30,110,46,,0,0,1,1
157,60402,604,3,1,9,1990,131,2000,98,63,50,114,83,49,109,73,101.5,55,101.4,53,100.9,53,118,50,107000.0,0,0,4,1
163,61906,619,3,2,9,1988,95,2000,37,46,45,93,31,44,89,24,102.2,55,106.1,66,96.1,39,144,50,22780.0,0,0,6,1
164,62101,621,2,2,1,1987,99,2000,47,54,43,84,14,60,101,53,93.5,34,99.3,47,87.8,21,161,1,2000.0,0,0,3,1
165,62102,621,2,1,8,1989,111,2000,77,53,41,93,31,42,93,32,80.5,9,92.5,32,71.2,3,130,1,2000.0,0,0,3,1
167,62703,627,3,1,12,1989,110,2000,75,51,55,116,86,49,104,60,76.1,5,78.9,8,79.5,8,127,87,44000.0,0,0,4,1
168,63203,632,3,1,6,1987,98,2000,44,51,55,102,54,60,102,55,106.6,68,106.1,66,104.4,61,160,4,15000.0,0,0,3,1
169,64002,640,3,1,8,1989,86,2000,18,40,56,116,85,65,120,91,106.6,68,112.9,81,96.1,39,131,67,75200.0,0,0,2,1
