CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,NUM_CHILDREN
227202,2272.0,2.0,1.0,4.0,1988.0,98.25,1999.0,45.25,44.25,40.5,94.5,37.0,46.5,100.25,49.75,78.125,10.25,88.425,26.75,72.5,7.5,133.5,52.0,33931.25,0.25,2.0
227402,2274.0,3.0,2.0,12.0,1990.0,96.0,1998.0,39.0,21.0,29.0,110.0,74.0,26.0,104.0,61.0,109.5,73.0,99.5,47.0,118.8,90.0,88.0,7.0,33000.0,0.0,2.0
227501,2275.0,3.0,2.0,9.0,1984.0,101.75,1995.0,52.75,45.75,40.75,96.5,41.0,45.75,101.0,52.25,82.55000000000001,12.5,84.625,19.0,86.025,22.75,129.5,25.0,28927.25,0.0,2.0
227801,2278.0,3.0,2.0,5.0,1984.0,120.66666666666667,1994.6666666666667,90.66666666666667,59.0,61.333333333333336,122.66666666666667,93.0,72.0,132.33333333333334,98.33333333333333,99.60000000000001,49.666666666666664,107.89999999999999,68.0,89.33333333333333,24.666666666666668,130.0,87.0,61000.0,0.0,2.0
227802,2278.0,3.0,1.0,7.0,1985.0,118.66666666666667,1994.6666666666667,89.0,51.333333333333336,39.333333333333336,103.33333333333333,58.333333333333336,46.666666666666664,111.0,74.66666666666667,100.23333333333333,50.666666666666664,107.56666666666666,67.33333333333333,90.93333333333334,28.666666666666668,116.66666666666667,87.0,61000.0,0.0,2.0
228101,2281.0,3.0,1.0,10.0,1977.0,87.25,1989.0,27.0,39.5,34.0,84.0,20.25,32.25,81.25,17.0,99.39999999999999,49.0,90.625,27.75,108.875,71.75,141.0,15.0,24865.25,0.0,3.0
228102,2281.0,3.0,1.0,7.0,1979.0,92.66666666666667,1990.0,34.0,40.333333333333336,40.333333333333336,93.66666666666667,35.0,37.0,87.33333333333333,20.333333333333332,97.7,46.333333333333336,90.03333333333335,28.0,106.39999999999999,64.66666666666667,132.66666666666666,15.0,25820.333333333332,0.0,3.0
228103,2281.0,3.0,1.0,10.0,1984.0,90.66666666666667,1996.0,27.0,43.666666666666664,28.333333333333332,74.0,4.333333333333333,29.0,74.33333333333333,4.333333333333333,108.83333333333333,72.66666666666667,102.39999999999999,56.666666666666664,113.06666666666666,78.33333333333333,141.66666666666666,15.0,46800.0,0.0,3.0
228501,2285.0,3.0,1.0,6.0,1984.0,123.0,1993.0,93.25,51.0,31.5,95.25,38.5,32.75,96.25,41.5,113.725,81.75,110.6,75.0,111.7,78.5,109.75,78.0,294505.0,0.0,1.5
228502,2285.0,3.0,2.0,2.0,1993.0,93.5,2003.0,34.75,36.25,42.0,99.75,50.0,51.0,108.5,67.5,111.0,74.0,106.94999999999999,66.25,110.775,74.5,123.5,78.0,87500.0,0.0,2.0
228601,2286.0,3.0,2.0,9.0,2004.0,124.66666666666667,2012.0,93.66666666666667,47.666666666666664,42.333333333333336,121.66666666666667,90.0,50.333333333333336,126.66666666666667,96.33333333333333,109.56666666666666,72.66666666666667,111.43333333333334,77.33333333333333,102.13333333333333,55.333333333333336,95.0,84.0,186666.66666666666,0.0,1.0
